日本語,英語
右薬指先,Right Ring Finger Tip
左小指１,Left Little Finger 1
左小指1,Left Little Finger 1
左小指２,Left Little Finger 2
左小指2,Left Little Finger 2
左小指３,Left Little Finger 3
左小指3,Left Little Finger 3
左小指先,Left Little Finger Tip
右小指１,Right Little Finger 1
右小指1,Right Little Finger 1
右小指２,Right Little Finger 2
右小指2,Right Little Finger 2
右小指３,Right Little Finger 3
右小指3,Right Little Finger 3
右小指先,Right Little Finger Tip
胸,Chest
左胸,Left Breast
右胸,Right Breast
胸先,Chest Tip
鼻,Nose
口,Mouth
あご,Chin
顎,Chin
舌,Tongue
舌1,Tongue 1
舌2,Tongue 2
髪,Hair
前髪,Bangs
後髪,Back Hair
左髪,Left Hair
右髪,Right Hair
髪1,Hair 1
髪2,Hair 2
髪3,Hair 3
顔,Face
肌,Skin
白目,Eye Whites
まつ毛,Eyelashes
服,Clothes
スカート,Skirt
靴,Shoes
靴下,Socks
ネクタイ,Necktie
リボン,Ribbon
シャツ,Shirt
ブーツ,Boots
メガネ,Glasses
あ,A
い,I
う,U
え,E
お,O
ん,N
まばたき,Blink
目閉じ,Eyes Closed
目開き,Eyes Open
ウィンク,Wink
ウインク,Wink
笑い,Smile
にっこり,Happy Smile
なごみ,Calm Eyes
困る,Worried
怒り,Angry
哀しみ,Sad
悲しい,Sad
驚き,Surprised
びっくり,Surprised
真面目,Serious
照れ,Blush
涙,Tears
目大,Eyes Wide
目小,Eyes Narrow
じと目,Half-Lidded Eyes
上目遣い,Upward Gaze
下目,Downward Gaze
猫目,Cat Eyes
ハイライト,Eye Highlights
ハイライト消し,Remove Eye Highlights
黒目,Pupils
眉上,Brows Up
眉下,Brows Down
眉困,Worried Brows
眉怒,Angry Brows
眉,Brows
口開き,Mouth Open
口閉じ,Mouth Closed
口角上げ,Smile
口角下げ,Frown
口横広げ,Mouth Wide
口縦広げ,Mouth Tall
口すぼめ,Pucker
歯,Teeth
歯茎,Gums
舌出し,Tongue Out
頬染め,Blush
ほっぺ,Cheeks
汗,Sweat
青ざめ,Pale
赤面,Blush
ガーン,Shock
えーん,Crying
